,Default,Limit,Sex,Education,Marriage,Age,Debt1,Debt2,Debt3,Debt4,Debt5
796,0,230000,Female,Graduate,Single,29,0,0,0,0,0
797,0,50000,Female,Graduate,Single,22,0,0,-119,4110,8177
798,0,100000,Female,Graduate,Single,48,17485,17932,17565,17358,14785
799,0,210000,Female,University,Married,35,26974,28995,29887,32232,33754
800,0,400000,Male,Graduate,Single,37,0,0,0,0,-337
801,1,20000,Male,University,Single,25,15988,16648,18833,19331,20005
802,0,50000,Female,High_School,Married,44,10000,7174,0,0,0
803,0,230000,Female,Graduate,Single,28,0,0,0,0,0
804,0,220000,Male,University,Single,29,0,0,0,0,3194
805,0,300000,Female,Graduate,Married,36,0,0,0,19800,23288
806,0,80000,Female,University,Single,23,-1,-1,-1,1868,-3
807,1,20000,Female,High_School,Single,36,19744,18932,19245,18262,16473
808,0,190000,Female,Graduate,Single,26,35171,33158,32426,31422,30379
809,0,160000,Female,University,Others,37,26923,26268,27683,37545,2545
810,0,120000,Female,Graduate,Others,44,0,12329,12082,73732,68346
811,0,700000,Female,Graduate,Married,39,0,0,0,99636,97345
812,0,140000,Female,Graduate,Single,24,0,0,0,0,0
813,0,300000,Female,High_School,Married,29,-64,6396,11304,13212,19333
814,1,120000,Male,High_School,Married,33,69415,68127,66687,65705,64405
815,0,280000,Female,University,Married,39,104143,155944,152942,223810,208663
816,1,70000,Male,High_School,Married,51,45026,47285,48411,47634,51384
817,0,20000,Female,High_School,Single,24,6204,0,0,0,0
818,0,150000,Female,University,Married,45,0,0,0,0,0
819,0,60000,Male,Graduate,Single,30,17848,17480,16912,18,-31
820,0,200000,Female,High_School,Others,51,0,390,0,0,0
821,1,50000,Female,University,Single,24,25450,24936,25584,46381,46082
822,0,150000,Male,University,Married,50,33156,32631,35037,32260,53170
823,0,20000,Female,Graduate,Single,22,18705,19496,19449,18383,18990
824,1,40000,Male,Graduate,Single,27,11413,10360,10330,10276,9471
825,0,170000,Female,University,Single,33,0,0,0,0,0
826,0,50000,Female,University,Married,24,28607,27137,26593,25592,26372
827,0,10000,Male,University,Single,37,3223,6963,7128,6518,6991
828,0,200000,Female,University,Married,58,0,0,0,0,-44
829,0,50000,Female,University,Married,48,9193,7461,13482,-2100,2336
830,0,320000,Male,Graduate,Single,28,0,1633,0,2037,1477
831,0,20000,Female,High_School,Married,24,21162,21796,22719,23353,23987
832,1,470000,Female,University,Married,27,85716,-1,12342,50546,59083
833,0,230000,Female,High_School,Single,30,0,10000,13013,0,0
834,0,20000,Female,Graduate,Single,23,0,0,15773,13973,14988
835,1,30000,Female,High_School,Single,53,0,0,0,0,0
836,0,80000,Female,University,Single,23,24570,24026,23562,23153,22237
837,0,110000,Female,University,Married,55,17828,17133,16568,15550,14523
838,0,420000,Male,University,Married,34,93200,88502,77982,70000,49783
839,1,500000,Male,Graduate,Married,43,0,0,0,0,0
840,0,80000,Female,University,Single,22,26109,25551,27069,77587,77459
841,0,350000,Female,University,Married,31,38244,52245,56237,61132,65518
842,0,30000,Female,University,Married,32,0,0,0,0,0
843,1,110000,Female,University,Single,33,-150,0,0,0,0
844,0,500000,Male,High_School,Married,39,353277,349946,334839,325070,307071
845,0,490000,Female,Graduate,Married,38,2452,0,0,0,0
846,0,300000,Female,University,Married,34,-185,-185,-86,-86,-86
847,1,50000,Male,University,Others,42,28289,28458,32177,46810,46532
848,1,150000,Male,High_School,Married,37,138743,143355,147477,150320,147287
849,0,80000,Female,High_School,Married,57,15000,15000,15000,0,726
850,0,40000,Female,University,Single,23,42059,23317,24050,20735,19406
851,0,30000,Male,University,Single,32,21428,22384,28568,29214,28319
852,0,50000,Male,Graduate,Married,37,0,0,0,0,-500
853,0,140000,Female,University,Single,23,42864,42380,41655,42712,42044
854,0,50000,Female,High_School,Single,49,0,8566,7066,6366,4741
855,0,30000,Female,University,Single,25,7100,15311,0,14780,24936
856,1,40000,Female,Graduate,Single,29,33187,28893,29361,28645,26025
857,1,100000,Female,High_School,Married,43,53176,51699,50691,50141,49382
858,0,130000,Male,University,Single,29,124967,123683,123048,126839,126698
859,0,20000,Female,University,Single,27,6321,19712,19712,18712,17712
860,0,50000,Male,Graduate,Single,26,0,0,0,0,0
861,0,260000,Male,Graduate,Married,41,31199,32201,25087,0,-699
862,1,30000,Female,High_School,Single,52,2450,2450,2450,2450,2450
863,0,10000,Female,University,Married,31,8392,9403,8975,7701,6720
864,0,200000,Male,Graduate,Single,32,46666,45733,46360,43818,42818
865,0,30000,Female,University,Married,46,26420,26273,26618,28001,27390
866,0,180000,Female,University,Single,35,0,0,0,0,117150
867,0,100000,Male,Graduate,Single,35,0,0,0,0,0
868,0,140000,Female,University,Married,39,74400,72180,69876,68510,87337
869,0,290000,Female,University,Single,34,293467,304732,306615,302073,303036
870,0,20000,Female,University,Others,52,17026,16685,16351,15351,14351
871,0,80000,Female,High_School,Married,40,40108,38291,37525,36464,35082
872,0,500000,Female,High_School,Married,38,0,0,0,0,0
873,0,180000,Male,Graduate,Married,45,0,0,0,-2,0
874,0,20000,Female,High_School,Married,40,0,0,0,0,0
875,0,30000,Female,University,Married,25,29818,27956,29357,28779,27779
876,0,150000,Male,Graduate,Single,33,62836,58096,53244,48793,44262
877,0,280000,Female,University,Single,27,0,0,0,-98,0
878,0,50000,Female,University,Married,43,10000,10182,0,18390,22780
879,0,20000,Female,University,Married,43,18844,17493,17076,16059,15040
880,0,200000,Male,Graduate,Single,30,2318,8540,2388,-200,-200
881,1,210000,Female,University,Married,49,0,0,0,0,0
882,0,230000,Female,Graduate,Single,38,128754,126173,123650,177030,218561
883,0,50000,Male,High_School,Single,57,28563,27992,27432,46131,46467
884,1,50000,Male,High_School,Single,55,28796,28220,27656,26656,24191
885,0,70000,Female,University,Single,23,56141,54098,52150,50341,48804
886,0,310000,Male,Graduate,Single,30,-608,-108,88,284,348
887,0,180000,Female,University,Married,30,0,0,-10,0,0
888,0,90000,Female,University,Single,24,14422,13996,15774,18077,21317
889,0,390000,Male,University,Single,28,33490,46013,100830,128074,131748
890,0,150000,Female,High_School,Married,34,150,0,0,0,-3
891,0,400000,Male,University,Single,37,10278,11559,12596,10868,12047
892,0,80000,Female,University,Married,32,0,0,750,10518,24436
893,0,320000,Male,Graduate,Single,27,93007,97175,102382,115722,193515
894,1,240000,Female,University,Married,37,0,0,0,0,0
895,0,200000,Male,Graduate,Single,31,0,0,0,0,0
896,1,110000,Male,Graduate,Others,55,97477,99260,89840,92351,90255
897,1,170000,Female,Graduate,Single,28,134012,136283,127604,129761,128297
898,1,90000,Female,High_School,Others,51,13674,13904,13128,12128,11128
899,0,200000,Male,Graduate,Married,36,0,-1056,-2,4924,0
900,0,360000,Male,Graduate,Single,30,0,0,0,0,0
901,0,140000,Female,Graduate,Married,36,0,1607,0,0,0
902,0,220000,Male,University,Single,25,32608,50926,50317,115675,145893
903,0,100000,Male,High_School,Married,50,0,0,0,0,0
904,0,80000,Female,University,Single,40,63293,62199,58860,57663,56437
905,0,30000,Female,University,Single,27,29086,0,21449,29325,27325
906,1,50000,Male,Graduate,Single,30,399,446,-104,3679,2852
907,0,120000,Female,University,Single,26,0,674,2377,3199,10899
908,0,50000,Male,Graduate,Single,27,0,12415,10915,9615,6876
909,0,360000,Female,Graduate,Single,27,0,0,0,17963,-9
910,0,90000,Female,Graduate,Single,25,85213,86942,87533,90460,84598
911,0,500000,Male,Graduate,Single,32,200893,174066,264539,273159,362894
912,0,140000,Female,High_School,Married,46,74169,72426,70613,68805,66972
913,0,30000,Male,High_School,Married,45,0,22000,22000,23180,16145
914,0,70000,Male,High_School,Married,30,22404,21935,21496,20259,19259
915,0,200000,Male,Graduate,Married,39,0,0,0,0,0
916,0,350000,Male,Graduate,Married,48,31827,46473,46760,46642,45891
917,1,120000,Male,Graduate,Single,32,0,0,0,0,0
918,0,240000,Male,Graduate,Single,46,340257,341206,374295,380525,462336
919,0,90000,Female,Graduate,Single,23,35744,32217,28747,24230,19011
920,0,260000,Female,Graduate,Single,33,0,0,0,0,0
921,0,50000,Female,Graduate,Single,24,31155,30437,31090,27500,26500
922,0,110000,Male,Graduate,Married,40,25800,21368,16948,12514,8086
923,0,20000,Female,Graduate,Single,24,0,398,0,398,0
924,0,30000,Female,University,Single,24,0,23018,27915,26875,26645
925,1,180000,Male,Graduate,Single,27,13080,13440,13440,14040,11188
926,0,20000,Male,University,Married,46,8186,8022,7862,6645,5645
927,0,50000,Female,University,Single,22,19550,19541,39132,47561,48586
928,0,180000,Female,Graduate,Single,36,0,0,0,0,0
929,0,200000,Male,Graduate,Married,34,0,-2,-9,-4,-28
930,0,260000,Female,University,Single,24,52923,50000,46998,44663,57886
931,1,320000,Male,Graduate,Married,60,0,208,0,-19,0
932,1,160000,Female,University,Single,29,0,0,0,-8,-8
933,1,30000,Male,University,Single,32,12566,10923,11112,8595,7565
934,0,50000,Female,University,Married,36,10341,10134,9931,17331,16331
935,0,50000,Male,University,Single,30,0,0,0,1207,4495
936,0,90000,Female,University,Single,29,54898,53785,52318,51217,42084
937,0,240000,Male,Graduate,Single,34,0,10416,-19,0,5979
938,1,180000,Female,University,Married,32,18389,16732,17172,14752,15009
939,0,200000,Female,University,Married,32,0,0,0,0,0
940,0,50000,Female,Graduate,Single,25,19630,17100,17938,25667,32729
941,0,50000,Male,University,Married,44,0,0,0,0,0
942,0,330000,Female,Graduate,Married,37,0,5882,0,0,-120
943,1,80000,Female,University,Single,24,300,600,1200,1200,1200
944,0,50000,Female,University,Single,23,-203,-111,-7,-6,-11
945,0,360000,Female,Graduate,Single,29,0,0,0,0,7174
946,0,240000,Female,University,Married,37,184116,181678,179440,179718,208927
947,0,50000,Male,University,Married,59,19065,18684,18310,47310,46310
948,0,470000,Male,University,Single,33,64377,88432,89212,110298,141195
949,0,160000,Female,High_School,Married,51,0,0,0,0,1000
950,1,30000,Male,Graduate,Married,27,0,-148,4517,4444,11473
951,0,80000,Female,University,Married,32,76228,74611,73913,72763,74562
952,0,500000,Female,High_School,Single,42,44642,100815,101860,0,-3841
953,0,180000,Male,University,Single,39,2628,0,0,-77,-11
954,0,110000,Female,University,Married,46,102940,0,0,0,0
955,0,160000,Male,Graduate,Married,41,16939,17499,15087,513,-4093
956,0,210000,Female,University,Single,30,101828,10722,12464,17578,19649
957,1,200000,Female,Graduate,Married,34,0,181,0,6521,5603
958,0,350000,Male,Graduate,Single,35,696,10599,12399,-1984,-171
959,1,250000,Male,Graduate,Single,41,0,0,5872,-24,-24
960,1,380000,Male,Graduate,Single,43,-2,-2,-2,-2,7843
961,0,30000,Male,University,Single,47,0,396,0,0,0
962,0,200000,Male,University,Single,31,28647,27082,25497,24043,32879
963,0,30000,Male,University,Single,30,21913,23536,29271,28122,27072
964,0,50000,Male,University,Single,24,3171,3470,-22,-11,9144
965,0,500000,Male,Graduate,Married,36,251645,264615,268004,271734,272913
966,0,30000,Male,Graduate,Single,28,0,0,0,0,0
967,0,220000,Female,Graduate,Married,36,0,0,0,3000,0
968,0,20000,Female,University,Married,27,12763,45486,37149,39267,38009
969,0,180000,Female,University,Married,32,0,0,4618,5428,28670
970,1,300000,Male,Graduate,Married,42,8492,10645,-10,20145,40855
971,0,130000,Female,University,Married,33,97697,97131,97908,125554,126383
972,1,180000,Female,High_School,Married,39,12809,13621,11979,12183,9979
973,0,150000,Female,Graduate,Others,30,-1,-7,-7,-332,-2062
974,1,140000,Male,University,Married,30,69525,68102,66518,103996,122319
975,0,50000,Female,University,Single,22,16733,15031,11281,29485,59062
976,1,20000,Male,University,Single,25,0,3887,3887,7227,5543
977,0,180000,Male,Graduate,Single,28,390,0,-5845,-4,0
978,1,180000,Male,University,Single,26,5318,6290,7493,6493,5493
979,0,150000,Female,High_School,Married,54,139738,151194,142833,139841,139731
980,0,70000,Female,Graduate,Single,24,58470,57301,62008,60768,62248
981,0,30000,Male,University,Single,29,30558,31332,32391,33165,33952
982,1,500000,Male,Graduate,Single,36,-139,-108,-136,-103,-426
983,0,60000,Male,High_School,Married,49,36456,38812,38343,36143,38545
984,0,50000,Female,Graduate,Single,23,13231,17462,19197,48733,47687
985,1,130000,Male,High_School,Single,43,-3,-5,-2,-4,-56
986,0,260000,Female,University,Married,33,39339,0,99524,110909,129526
987,0,380000,Male,High_School,Married,53,0,0,0,0,0
988,0,360000,Female,University,Single,25,279503,292116,279308,284059,279898
989,0,50000,Male,High_School,Married,54,50688,52054,53419,56828,58785
990,0,50000,Female,High_School,Married,39,30187,29583,-44468,-19,51851
991,1,260000,Female,Graduate,Married,44,0,0,0,0,856
992,0,80000,Female,University,Single,27,61355,60094,58877,57673,56449
993,1,360000,Female,Graduate,Single,25,0,0,10043,67017,162422
994,1,290000,Female,Graduate,Single,29,0,0,0,0,0
995,0,200000,Male,Graduate,Single,39,0,0,-200,-200,-200
996,0,140000,Male,Graduate,Married,45,44683,43733,41283,40253,39199
997,1,360000,Male,Graduate,Married,38,0,0,0,0,0
998,1,50000,Female,University,Single,23,0,0,390,0,0
999,0,120000,Male,University,Single,25,85000,82500,80700,106700,110119
1000,0,100000,Male,University,Married,29,94113,-4252,-2618,62782,92540
1001,0,200000,Female,University,Married,28,3541,97041,8041,6441,81790
1002,0,90000,Female,University,Married,40,0,-942,-1599,-1692,-818
1003,1,360000,Male,Graduate,Single,36,0,0,0,0,0
1004,1,150000,Female,High_School,Single,30,0,0,-85,0,0
1005,0,140000,Male,Graduate,Single,29,-5,-1,-7,-8,3126
1006,0,200000,Female,University,Single,36,0,0,0,0,-9
1007,0,170000,Female,University,Married,37,129742,128499,131907,129804,162463
1008,0,30000,Male,University,Single,34,47824,22779,23289,23961,19133
1009,0,80000,Female,Graduate,Single,27,0,0,0,0,0
1010,0,280000,Male,Graduate,Single,31,129964,125536,128465,138661,161731
1011,0,410000,Female,Graduate,Married,31,-2556,-1857,-1002,625,-10
1012,0,450000,Male,Graduate,Single,38,-61,-114,-40,-53,22988
1013,0,80000,Male,University,Single,36,27757,32338,40529,42275,50174
1014,0,360000,Male,Graduate,Married,46,-16,-8,-8,38630,66118
1015,0,130000,Female,Graduate,Married,36,88894,86556,89623,99542,102070
1016,1,160000,Female,Graduate,Single,26,0,0,0,0,2000
1017,1,140000,Female,High_School,Single,57,89115,87333,95387,119939,127340
1018,0,240000,Female,High_School,Married,40,0,0,0,-55,-55
1019,0,180000,Female,High_School,Others,45,0,0,0,0,0
1020,0,70000,Male,Graduate,Others,57,60029,63626,65727,67615,67685
1021,0,150000,Female,University,Single,25,54663,55375,73773,71324,121317
1022,0,210000,Female,High_School,Married,37,39150,57967,60459,96912,104115
1023,0,200000,Female,Graduate,Married,35,13720,17647,10000,10652,9752
1024,0,310000,Male,University,Single,33,-5,-10,0,-5,-20
1025,0,180000,Male,Graduate,Married,38,129838,135272,132274,131813,143222
1026,0,300000,Male,University,Single,31,0,1263,0,32379,34074
1027,0,450000,Female,Graduate,Single,41,-10,-111,-427,-140,-376
1028,0,200000,Male,Graduate,Single,33,4577,-42,1873,0,-5
1029,1,30000,Female,University,Married,67,26855,28924,27317,26237,29038
1030,0,400000,Female,Graduate,Married,40,0,8318,8318,-69,0
1031,0,170000,Male,Graduate,Single,33,0,0,0,0,-5
1032,1,140000,Female,Graduate,Single,31,0,0,0,0,326
1033,0,200000,Female,University,Single,35,69312,67485,65752,63870,62565
1034,0,60000,Female,University,Others,39,0,-2000,-3220,-2320,-1930
1035,1,60000,Male,University,Single,27,49764,48934,45877,41663,42381
1036,0,150000,Male,Graduate,Single,23,75321,74538,72986,76678,5360
1037,1,180000,Male,High_School,Married,54,81711,94777,107581,120129,132426
1038,0,50000,Female,High_School,Single,23,16936,16318,16573,18879,31403
1039,0,50000,Male,High_School,Single,24,17804,17836,-535,-290,-26
1040,0,20000,Male,University,Single,26,0,-1400,-1400,-620,-620
1041,1,230000,Female,University,Single,52,-7,-1,1490,1989,-8
1042,0,110000,Female,University,Married,42,47687,47677,47490,47480,50818
1043,0,90000,Female,Graduate,Single,36,64957,66009,64847,63303,76707
1044,1,20000,Female,Graduate,Single,22,19994,18899,19572,19882,15164
1045,0,30000,Female,Graduate,Single,23,11470,13655,20293,18181,22315
1046,1,220000,Male,High_School,Married,30,168852,181333,172404,168956,160592
1047,1,140000,Female,High_School,Single,24,45447,44538,45422,44693,41918
1048,0,300000,Female,Graduate,Married,42,0,0,0,0,0
1049,0,100000,Male,University,Married,49,15979,18284,22150,26297,28895
1050,0,110000,Male,University,Single,31,-21,129,279,279,279
1051,0,270000,Female,High_School,Single,33,105051,111843,-99057,0,0
1052,0,30000,Male,Graduate,Married,42,0,0,0,0,15560
1053,0,70000,Male,High_School,Single,41,48229,48311,49605,66020,65839
1054,0,230000,Male,University,Married,53,0,0,0,0,0
1055,0,20000,Male,University,Single,23,14632,18445,18271,15395,15148
1056,0,190000,Female,Graduate,Single,33,48144,47894,66919,85309,108137
1057,0,20000,Female,University,Married,29,15666,13869,13205,11375,11995
1058,0,80000,Female,High_School,Married,67,0,10660,18574,16527,12885
1059,1,20000,Male,High_School,Married,33,0,0,6914,19960,14046
1060,1,60000,Female,High_School,Married,34,12338,12003,12352,10763,9761
1061,0,50000,Male,University,Married,49,2534,2252,3774,5575,7248
1062,1,280000,Female,University,Married,56,205743,205634,205637,266393,273780
1063,0,300000,Male,Graduate,Married,42,11549,45141,42116,42833,85389
1064,1,30000,Female,High_School,Married,55,28498,29000,29000,28200,28793
1065,0,270000,Female,University,Married,25,133886,142892,181885,196769,395
1066,0,100000,Male,High_School,Single,30,37376,38104,40364,51411,68136
1067,1,240000,Male,University,Single,43,0,0,0,0,0
1068,0,200000,Male,Graduate,Single,40,0,0,0,0,-326
1069,0,110000,Female,Graduate,Single,35,36250,35428,35163,35455,31844
1070,0,230000,Male,Graduate,Married,61,-22,-8,-2406,-14,-11
1071,1,150000,Female,University,Married,44,0,0,-4580,0,0
1072,0,350000,Male,Graduate,Single,33,-4,-6,-585,-5,-310
1073,0,360000,Male,Others,Married,66,0,-242,-760,-24,-375
1074,0,150000,Female,University,Single,40,-3,-3,-52,-36,-19
1075,0,100000,Male,High_School,Single,47,3919,4002,36802,57591,91241
1076,0,500000,Male,Graduate,Single,27,178082,182455,186817,191207,194214
1077,0,500000,Male,Graduate,Single,35,10331,-864,-359,-1000,11250
1078,0,180000,Female,High_School,Married,47,0,0,0,0,0
1079,0,400000,Female,High_School,Married,39,0,-203,-406,0,-103
1080,0,100000,Female,University,Single,29,3182,6322,60820,38183,47652
1081,0,10000,Male,University,Married,32,9741,9030,9180,7849,8148
1082,0,60000,Female,Graduate,Single,30,37131,36393,35633,33330,33895
1083,1,50000,Female,Graduate,Single,25,47602,48940,47847,46913,46008
1084,0,80000,Female,University,Single,23,31923,47012,49561,48452,56344
1085,0,110000,Female,University,Married,43,99813,101737,103561,105275,105254
1086,1,410000,Female,University,Married,41,354043,355778,354779,354276,349066
1087,0,260000,Female,University,Married,40,0,0,0,0,0
1088,0,30000,Female,High_School,Married,35,24900,23825,24709,23648,24996
1089,0,310000,Female,Graduate,Single,28,0,0,39379,36579,35128
1090,0,70000,Female,University,Single,38,25207,24703,24209,23209,22209
1091,0,250000,Male,Graduate,Single,31,162446,162110,161857,163069,191645
1092,0,210000,Male,High_School,Married,29,186136,187990,187538,189393,194040
1093,1,360000,Male,University,Married,41,0,0,0,0,0
1094,0,50000,Male,University,Single,31,18847,19143,17436,43414,45079
1095,0,670000,Male,Graduate,Single,29,228726,224605,219614,221265,233209
1096,0,130000,Male,Graduate,Single,26,12415,9805,14182,22958,-44
1097,0,170000,Male,Graduate,Married,42,0,0,0,0,0
1098,0,30000,Male,High_School,Single,29,0,0,0,0,0
1099,0,110000,Male,Graduate,Married,50,42197,40913,39585,37259,36210
1100,1,210000,Female,High_School,Single,46,0,0,17309,2770,5566
1101,1,30000,Female,University,Single,24,26699,27151,25534,26269,23534
1102,0,260000,Female,University,Married,46,16196,21490,16018,18136,16622
1103,0,150000,Female,High_School,Single,28,0,0,0,0,-4584
1104,1,20000,Female,University,Married,35,18819,19289,20419,17742,18061
1105,0,380000,Female,Graduate,Married,40,0,0,0,47872,5363
1106,0,200000,Female,Graduate,Married,41,0,0,0,0,0
1107,0,120000,Female,University,Married,47,0,0,0,0,0
1108,1,80000,Male,University,Married,54,29164,28798,29186,76261,75463
1109,0,30000,Female,University,Single,33,12675,12043,11797,10797,10989
1110,0,110000,Male,University,Single,29,84259,82497,84001,83074,81460
1111,0,50000,Female,High_School,Married,44,0,0,0,0,0
1112,0,90000,Female,University,Married,24,65385,70428,70260,71569,74841
1113,0,110000,Male,Graduate,Single,33,6435,19567,11674,52478,8330
1114,0,50000,Male,High_School,Married,54,41981,40857,40040,38717,37681
1115,0,60000,Male,Graduate,Single,27,9407,0,-14,-14,-5
1116,1,150000,Female,University,Single,37,33398,32730,42430,80781,79165
1117,0,20000,Male,Graduate,Single,24,0,0,7190,5690,17996
1118,1,140000,Female,High_School,Married,54,-150,-150,-150,-150,-150
1119,0,120000,Female,University,Married,34,0,0,0,-20,-9
1120,1,200000,Female,University,Single,40,146361,155965,154186,155526,168297
1121,1,20000,Male,University,Single,30,1235,19690,19860,20581,19359
1122,0,50000,Male,University,Single,26,48980,9780,48668,47668,47058
1123,0,200000,Female,University,Married,41,0,7967,11232,15976,16982
1124,0,100000,Female,University,Single,29,91630,89485,87689,84498,75276
1125,0,300000,Male,Graduate,Married,38,0,0,0,0,0
1126,0,500000,Female,Graduate,Single,35,-115,2427,-36,-148,-28
1127,0,360000,Female,University,Married,52,0,0,0,-5,-5
1128,0,160000,Female,Graduate,Single,29,0,0,0,0,0
1129,1,50000,Female,University,Single,23,48789,50788,49713,46993,45993
1130,1,230000,Female,University,Married,34,146079,148057,149996,151896,225298
1131,0,200000,Female,University,Single,34,0,0,0,0,0
1132,0,270000,Male,Graduate,Married,44,278436,273545,263104,253839,246323
1133,0,50000,Female,University,Married,36,34420,31626,41574,47956,44425
1134,0,20000,Male,University,Single,28,17854,16158,16594,15164,15218
1135,0,60000,Female,University,Single,31,28128,29526,27786,58482,58079
1136,0,50000,Male,University,Single,31,0,390,16710,0,0
1137,0,50000,Male,University,Married,41,18389,18153,17790,18780,18721
1138,0,130000,Female,High_School,Married,44,81977,86339,97247,108283,105756
1139,0,230000,Female,High_School,Single,47,90849,92616,90225,97074,111855
1140,0,20000,Male,University,Single,25,3190,0,0,0,3129
1141,0,30000,Female,Graduate,Single,25,19239,19935,19517,19798,17449
1142,0,200000,Female,Graduate,Married,39,3368,5243,4851,-10,3231
1143,0,140000,Female,University,Married,24,0,0,0,0,0
1144,1,100000,Female,University,Married,35,91946,96659,95319,90569,90665
1145,1,240000,Male,University,Married,32,136618,133523,130820,132640,125542
1146,1,70000,Female,Graduate,Single,31,2400,2400,2400,2400,2400
1147,0,360000,Male,Graduate,Single,33,0,0,16672,58759,60553
1148,0,140000,Female,Graduate,Single,30,116395,138550,138915,138879,145757
1149,0,50000,Male,University,Married,52,0,780,2716,1106,1532
1150,0,210000,Female,University,Married,36,0,0,1646,0,0
1151,0,280000,Male,Graduate,Single,30,125177,127490,147114,161623,186913
1152,1,180000,Female,University,Single,42,53076,51923,50917,50372,49318
1153,0,150000,Female,Graduate,Single,30,0,0,3068,0,4416
1154,0,20000,Male,High_School,Married,47,9537,9742,15422,18657,19137
1155,0,350000,Female,University,Married,29,-16,-20,-15,-63,-50
1156,0,130000,Female,Graduate,Single,23,3861,0,9437,0,0
1157,0,470000,Male,High_School,Married,39,0,0,0,0,0
1158,0,340000,Female,University,Married,48,0,2895,2895,0,0
1159,0,80000,Male,University,Single,26,76215,74504,75724,74300,75585
1160,0,70000,Male,Graduate,Single,33,0,0,0,44740,68240
1161,0,230000,Female,University,Married,44,0,0,0,0,0
1162,0,180000,Female,University,Married,36,35805,0,0,0,20600
1163,0,210000,Female,University,Married,39,0,14530,14850,22193,20451
1164,0,20000,Male,University,Single,24,0,0,0,0,0
1165,0,140000,Female,University,Single,25,87908,0,0,107800,134557
1166,0,200000,Male,Graduate,Single,52,93098,96952,100729,104431,108059
1167,0,50000,Female,High_School,Married,59,10132,11165,12678,34811,34479
1168,0,80000,Female,Graduate,Single,23,0,0,3450,3356,0
1169,0,30000,Female,High_School,Single,48,8949,7112,5239,3338,1410
1170,1,140000,Female,Graduate,Single,28,14775,13689,12577,13103,8814
1171,0,80000,Male,High_School,Married,62,0,0,0,0,0
1172,0,220000,Female,High_School,Married,38,0,0,-2400,-33,0
1173,0,180000,Female,Graduate,Single,32,0,0,0,0,0
1174,1,140000,Female,University,Married,29,9700,10643,-5994,38777,71904
1175,1,180000,Male,University,Single,25,12401,12153,11850,12351,9847
1176,0,50000,Female,University,Single,35,17289,16781,16156,15131,13994
1177,0,170000,Female,University,Single,27,67778,65927,68288,77131,75588
1178,0,50000,Male,University,Single,38,9212,9028,8847,48547,48847
1179,0,50000,Male,University,Single,24,17633,16931,17610,16590,19318
1180,0,300000,Male,University,Married,29,-200,-200,-200,-200,-200
1181,0,390000,Female,Graduate,Single,27,294904,290053,284606,279201,375458
1182,1,90000,Female,University,Married,55,20694,30049,28565,77890,79671
1183,0,200000,Female,Graduate,Single,29,182499,182829,188268,188037,181425
1184,0,460000,Male,Graduate,Single,29,316819,313732,312940,312624,369306
1185,0,10000,Male,University,Single,23,0,0,3049,3654,3054
1186,1,20000,Male,University,Married,30,0,0,1261,1522,0
1187,0,50000,Female,University,Married,50,0,0,0,0,0
1188,0,480000,Female,University,Married,38,17615,36896,36192,55068,46099
1189,0,180000,Female,Graduate,Single,24,166246,162822,159491,169986,166532
1190,0,240000,Female,Graduate,Single,29,0,0,1480,6166,322
1191,0,250000,Male,Graduate,Single,38,0,-5,-37,-43,-16
1192,1,270000,Female,University,Single,34,-14,-27,-18,-25,-30
1193,0,200000,Male,Graduate,Married,37,-114,-6088,-1133,-110,-54
1194,0,100000,Female,High_School,Married,66,93682,93278,93541,95785,95339
1195,0,160000,Female,Graduate,Married,39,0,0,0,0,0
1196,0,80000,Female,University,Married,45,27533,28595,28256,66978,70416
1197,0,130000,Male,University,Married,44,4083,8466,14205,17137,23154
1198,1,340000,Female,High_School,Single,44,143959,142540,144380,141182,138125
1199,0,360000,Male,Graduate,Married,36,0,0,0,-111,0
1200,0,120000,Female,High_School,Married,40,2200,38643,47078,90712,103538
1201,0,120000,Male,Graduate,Single,29,30593,29981,29381,28180,29281
1202,0,300000,Female,Graduate,Single,48,180855,195234,204980,214562,225088
1203,0,60000,Female,University,Single,23,0,0,0,0,0
1204,0,210000,Female,University,Married,50,100026,99900,98585,100214,105214
1205,1,210000,Female,University,Married,29,43885,42784,41885,49353,118576
1206,1,70000,Female,High_School,Married,49,24369,23230,20772,21142,20390
1207,0,200000,Male,University,Married,33,6799,-11,-108,5525,514
1208,1,230000,Female,University,Married,51,58330,57163,56020,53047,50956
1209,1,20000,Male,High_School,Married,23,18807,19585,19193,18583,0
1210,0,210000,Female,Graduate,Married,37,169809,166682,158664,191833,198947
1211,0,160000,Female,High_School,Single,26,0,0,0,0,0
1212,1,290000,Female,Graduate,Married,30,-7,-7,-7,-6,-6
1213,0,80000,Female,High_School,Married,26,37561,37198,36840,36236,62162
1214,0,360000,Male,Graduate,Single,43,0,0,-200,-22,-6
1215,0,230000,Male,Graduate,Single,32,58929,85091,96677,132049,158808
1216,0,360000,Male,High_School,Married,54,0,0,0,-200,-200
1217,0,340000,Female,Graduate,Married,30,208728,213866,223009,234533,249991
1218,0,50000,Female,Graduate,Single,22,10480,10260,10418,9418,8391
1219,0,80000,Male,University,Single,38,33955,24528,28391,58045,76223
1220,0,50000,Female,University,Single,24,17074,16733,0,-15,37837
1221,0,30000,Female,Graduate,Single,24,0,950,950,-21,0
